rgb,caz,ppi,sri,r,g,b
"[58, 0, 160]",16.5,2,4.3,58,0,160
"[0, 25, 176]",19.5,6,10.8,0,25,176
"[0, 58, 200]",22.5,10,17.5,0,58,200
"[0, 71, 255]",25.5,14,24.0,0,71,255
"[0, 121, 255]",28.5,18,30.5,0,121,255
"[26, 163, 255]",31.5,22,37.5,26,163,255
"[83, 209, 255]",34.5,26,44.0,83,209,255
"[135, 241, 255]",37.5,30,50.5,135,241,255
"[135, 241, 255]",40.5,34,57.0,135,241,255
"[252, 252, 122]",43.5,38,63.5,252,252,122
"[255, 230, 0]",46.5,42,70.5,255,230,0
"[255, 189, 0]",49.5,46,77.0,255,189,0
"[255, 115, 0]",52.5,50,83.5,255,115,0
"[255, 63, 0]",55.5,54,90.0,255,63,0
"[200, 0, 0]",58.5,58,96.5,200,0,0
"[200, 0, 79]",61.5,62,,200,0,79
